time,logc,rep,temp
5,3.06,1,10
0,3.11,1,10
10,3.13,1,10
24,3.35,1,10
72.5,4.05,1,10
98,4.29,1,10
175.5,5.34,1,10
243,6.7,1,10
300,7.21,1,10
400,7.38,1,10
0,2.7,2,10
5,2.74,2,10
10,2.78,2,10
24,3.1,2,10
15,3.2,2,10
55,3.43,2,10
78.5,3.9,2,10
97,4.01,2,10
147,4.6,2,10
177,5.52,2,10
212,6.87,2,10
241,7.25,2,10
300,7.45,2,10
280,7.59,2,10
0,3.34,1,15
4,3.35,1,15
8,3.4,1,15
12,3.79,1,15
25,4.35,1,15
32,4.87,1,15
57,5.41,1,15
65,6.35,1,15
80.5,7.33,1,15
112,7.62,1,15
121.5,7.64,1,15
135,7.8,1,15
0,3,2,15
4,3.04,2,15
8,3.11,2,15
12,3.4,2,15
24,4.08,2,15
37,4.94,2,15
44.5,5.01,2,15
60.5,6.3,2,15
74,7.15,2,15
86,7.55,2,15
121.5,7.69,2,15
4,2.63,1,20
0,2.66,1,20
8,3.14,1,20
12,3.73,1,20
22,5.13,1,20
28.5,5.55,1,20
30,6.01,1,20
36,6.91,1,20
48,7.62,1,20
54,7.74,1,20
0,3.2,2,20
4,3.27,2,20
8,3.49,2,20
12.5,4.1,2,20
24.5,5.2,2,20
29,6.25,2,20
34,6.8,2,20
40,7.22,2,20
54,7.22,2,20
48,7.39,2,20
65,7.51,2,20
1,2.85,1,25
0,2.93,1,25
2.15,3.11,1,25
4,3.69,1,25
5,4.18,1,25
6,4.48,1,25
18,6.78,1,25
20,7.21,1,25
24,7.71,1,25
34,7.77,1,25
42,7.81,1,25
0,2.6,2,25
2,2.68,2,25
3,3.04,2,25
5.5,3.82,2,25
10,4.4,2,25
11,5.07,2,25
21,6.9,2,25
22,7.69,2,25
55,7.85,2,25
32.5,7.88,2,25
25.5,7.96,2,25
0.5,2.8,1,30
0,2.83,1,30
1,2.91,1,30
2.15,3.19,1,30
3,3.62,1,30
5,4.35,1,30
6,4.86,1,30
4,4.99,1,30
7,5.39,1,30
17.5,7.6,1,30
24,7.62,1,30
0,2.98,2,30
1,3.01,2,30
1.5,3.18,2,30
3,3.38,2,30
4,4.1,2,30
5,4.62,2,30
7,4.8,2,30
9,5.85,2,30
12,7.4,2,30
21,7.69,2,30
30,7.7,2,30
24,7.75,2,30
0,2.15,1,35
1.5,2.15,1,35
0.5,2.27,1,35
3.15,2.91,1,35
6,4.8,1,35
8,5.9,1,35
9,6.92,1,35
11,7.37,1,35
24,7.75,1,35
20,7.83,1,35
0,2.6,2,35
1,2.61,2,35
2,3,2,35
3,3.461,2,35
4,3.71,2,35
6,4.9,2,35
8,6.24,2,35
13,7.48,2,35
15,7.6,2,35
24,7.66,2,35
20,7.74,2,35
0,2.8,1,40
2.15,2.85,1,40
0.5,2.87,1,40
1,3.16,1,40
3,3.82,1,40
4,4.77,1,40
5,4.85,1,40
6,5.61,1,40
7,6.87,1,40
20,7.57,1,40
24,7.7,1,40
1,3.04,2,40
0,3.11,2,40
0.5,3.12,2,40
2.5,3.66,2,40
3.5,4.44,2,40
5.5,4.8,2,40
6.5,6.4,2,40
8,7.29,2,40
10,7.32,2,40
20,7.4,2,40
24,7.62,2,40
34,7.68,2,40
0,2.66,1,45
1,2.83,1,45
2,3.04,1,45
3,3.42,1,45
5,5,1,45
6,5.74,1,45
7,6.13,1,45
17.5,7.13,1,45
20,7.46,1,45
24,7.5,1,45
0.5,3.13,2,45
0,3.2,2,45
1.5,3.4,2,45
2.5,4.26,2,45
4.5,5.15,2,45
6,6.6,2,45
8,7.52,2,45
20,7.6,2,45
10.5,7.73,2,45
18,7.79,2,45
24,7.8,2,45
32,7.88,2,45
21,7.92,2,45
0,3.1,1,50
1,3.18,1,50
4,3.56,1,50
6,3.85,1,50
12,5,1,50
16,5.63,1,50
24,6.16,1,50
36,6.2,1,50
0,2.81,2,50
1,2.9,2,50
3,3.12,2,50
12,4.44,2,50
16,5.54,2,50
24,5.9,2,50
36,5.8,2,50
